epoch,accuracy,loss
0,0.6595744490623474,3.5015411376953125
1,0.4680851101875305,1.364925742149353
2,0.6595744490623474,1.0782148838043213
3,0.38297873735427856,0.9213573336601257
4,0.6808510422706604,0.6931135058403015
5,0.6170212626457214,0.7529088854789734
6,0.7021276354789734,0.5849969983100891
7,0.6382978558540344,0.6787346005439758
8,0.6595744490623474,0.6551374793052673
9,0.6595744490623474,0.6577578783035278
10,0.6170212626457214,0.5785285234451294
11,0.6808510422706604,0.5862011909484863
12,0.7234042286872864,0.571791410446167
13,0.6382978558540344,0.6177226305007935
14,0.7234042286872864,0.5744127035140991
15,0.7234042286872864,0.5423716902732849
16,0.7872340679168701,0.46151432394981384
17,0.7446808218955994,0.46484845876693726
18,0.7872340679168701,0.4623172879219055
19,0.7872340679168701,0.4661012887954712
20,0.8723404407501221,0.3729977309703827
21,0.7234042286872864,0.50247722864151
22,0.7872340679168701,0.445433109998703
23,0.8297872543334961,0.4385496973991394
24,0.8723404407501221,0.35869696736335754
25,0.8085106611251831,0.5017000436782837
26,0.8936170339584351,0.3896995186805725
27,0.7872340679168701,0.4637390971183777
28,0.8297872543334961,0.31486400961875916
29,0.7234042286872864,0.582106351852417
30,0.7872340679168701,0.5218625068664551
31,0.8085106611251831,0.4902406334877014
32,0.8510638475418091,0.4033955931663513
33,0.8723404407501221,0.4171382486820221
34,0.8085106611251831,0.3854903280735016
35,0.8085106611251831,0.41350555419921875
36,0.8936170339584351,0.26401713490486145
37,0.6595744490623474,0.6054863333702087
38,0.8085106611251831,0.39456096291542053
39,0.7234042286872864,0.6462464928627014
40,0.7446808218955994,0.49673596024513245
41,0.8297872543334961,0.3994349539279938
42,0.7659574747085571,0.44978007674217224
43,0.8510638475418091,0.3699853718280792
44,0.8297872543334961,0.38569867610931396
45,0.7659574747085571,0.3996596932411194
46,0.7872340679168701,0.35846954584121704
47,0.7872340679168701,0.37543535232543945
48,0.8297872543334961,0.359854519367218
49,0.8510638475418091,0.3310832977294922
0,0.5833333134651184,2.4766743183135986
1,0.3541666567325592,1.083511233329773
2,0.6875,0.8733803629875183
3,0.7291666865348816,0.5840117335319519
